instrument,avg_score,pos_ratio,real_label,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
SZ002028,0.2131651634684247,1.0,,2026-05-27,0.008308272,0.062745266,0.13241273,0.046332564,0.7384233,0.00810443,0.12916401,-0.029919863,-0.47684652,0.9917602,1.0459508,0.9837225,1.0160468,1.0378134,1.0474168,1.1228901,1.0632405,1.1491275,1.002164,0.99934345,1.0069715,1.0331857,1.0555344,0.01697041,0.025179863,0.026717504,0.0483141,0.0521282,-0.0025479044,0.0011580462,-0.00090587384,-0.003334089,-0.0020243716,0.056353595,0.019389048,0.04023571,0.36906967,0.4599757,0.0029318053,-0.0045546857,0.0016343342,0.015158616,0.00418457,1.0595497,1.0674349,1.0892221,1.1741993,1.2087773,0.97720134,0.9458112,0.9458112,0.9458112,0.9458112,1.0096459,1.0257407,1.0385212,1.0828848,1.1027011,0.993489,0.9796484,0.985735,0.99068856,1.0045804,0.6,0.6,0.5,0.33333334,0.16666667,0.27685636,0.44554487,0.37785706,0.23726627,0.20606762,0.2,0.1,0.05,0.3,0.1,0.8,0.3,0.65,0.76666665,0.8833333,-0.6,-0.2,-0.6,-0.46666667,-0.78333336,-0.09567348,0.04891044,0.23351853,-0.011445423,-0.11801324,0.4626657,0.24043754,-0.05139077,-0.042260267,-0.19044693,0.4,0.5,0.5,0.53333336,0.46666667,0.6,0.5,0.5,0.46666667,0.53333336,-0.2,0.0,0.0,0.06666667,-0.06666667,0.36330414,0.42165217,0.40154007,0.46228498,0.45311758,0.63669586,0.5783478,0.5984599,0.537715,0.54688245,-0.27339172,-0.15669565,-0.19691984,-0.07543001,-0.093764864,0.8525246,0.95764524,1.0399677,1.0128332,0.9074528,0.16317585,0.2922355,0.35320365,0.31312594,0.2840636,0.5777871,0.8901078,0.986548,1.0140305,0.9935379,0.30942544,0.4862887,0.5186,0.5004821,0.51046145,0.6905746,0.5137113,0.4814,0.49951792,0.48953855,-0.38114914,-0.027422603,0.037199955,0.00096414855,0.02092288
SH600426,0.20921159274644074,1.0,,2026-05-27,0.00066443346,0.031229274,0.02127598,0.028239224,0.90425485,0.0023256172,0.07446914,-0.025249172,-0.80850977,0.999336,1.0282204,0.99701196,1.0106252,1.0667421,1.1454248,1.2489945,1.2669181,1.2214429,1.0171342,1.0586702,1.1421015,1.1624962,1.2107675,0.023488313,0.051740523,0.10232362,0.09054714,0.0932128,-0.011754647,-0.016389687,-0.016881723,-0.007834699,-0.0039555216,0.62611705,0.9197951,0.95268595,0.58022565,0.5492326,0.0063750674,0.01508342,0.018274818,-0.048893083,-0.09407965,1.0766959,1.1699929,1.3180712,1.3180712,1.4641354,0.9747762,0.9747762,0.9747762,0.9747762,0.9747762,1.0417697,1.1073755,1.2633485,1.2511212,1.2881197,0.99860734,1.0066365,1.0425692,1.0664102,1.1555706,0.4,0.2,0.1,0.06666667,0.033333335,0.24748687,0.12920916,0.07347555,0.07347555,0.05154453,0.2,0.1,0.2,0.46666667,0.11666667,0.6,0.8,0.9,0.93333334,0.96666664,-0.4,-0.7,-0.7,-0.46666667,-0.85,-0.6281641,-0.5212957,-0.29521686,-0.24849927,0.28099233,-0.97372615,-0.819391,-0.56881744,-0.4805144,0.05151619,0.4,0.4,0.45,0.5,0.5,0.6,0.6,0.55,0.5,0.5,-0.2,-0.2,-0.1,0.0,0.0,0.16603804,0.14443755,0.2093089,0.29657426,0.43500903,0.83396196,0.85556245,0.7906911,0.7034257,0.56499094,-0.6679239,-0.7111249,-0.5813822,-0.40685144,-0.12998192,1.18185,1.0799549,1.0330999,1.0219073,1.1360974,0.5321975,0.40156326,0.35707065,0.31755057,0.3963155,1.337618,1.2042067,1.2798357,1.1969754,1.1099204,0.50892216,0.5122275,0.49407464,0.5142315,0.5102453,0.49107784,0.48777252,0.50592536,0.48576847,0.4897547,0.017844325,0.024454923,-0.011850734,0.028463053,0.020490604
SH600346,0.2061547562357926,1.0,,2026-05-27,-0.05107531,0.07473116,-0.683454,0.009139734,0.12230151,0.014516119,0.19424452,-0.045698926,-0.611511,1.0538244,1.063456,0.9847026,1.0107695,1.1257765,1.2787694,1.3280249,1.312198,1.4328469,1.0457746,1.1100779,1.1849521,1.2373139,1.2618685,0.027671304,0.07830093,0.096109405,0.11133846,0.10498059,-0.013825078,-0.024987075,-0.013391629,-0.010610986,-0.0032782408,0.62404495,0.93348736,0.6795213,0.7039192,0.29741547,-0.018124446,0.0023639193,-0.057731718,-0.0834546,-0.1651604,1.1331519,1.3161439,1.3161439,1.4226581,1.5297374,0.9847026,0.9847026,0.9847026,0.9847026,0.9847026,1.0618677,1.1685928,1.2717189,1.3307465,1.3307465,1.0371561,1.0491668,1.0707129,1.1334682,1.1953357,0.2,0.1,0.05,0.033333335,0.016666668,0.103048265,0.04615429,0.04615429,0.03492921,0.028066903,0.2,0.1,0.55,0.23333333,0.05,1.0,1.0,1.0,1.0,1.0,-0.8,-0.9,-0.45,-0.76666665,-0.95,-0.6848141,-0.50234747,0.12825243,-0.032256767,0.21085308,-0.7068631,-0.5843879,0.08373897,0.012432375,-0.023283208,0.2,0.1,0.3,0.36666667,0.43333334,0.8,0.9,0.7,0.6333333,0.56666666,-0.6,-0.8,-0.4,-0.26666668,-0.13333334,0.082760535,0.041071232,0.22244471,0.3447887,0.40016374,0.9172395,0.95892876,0.7775553,0.65521127,0.59983623,-0.8344789,-0.9178575,-0.5551106,-0.3104226,-0.19967249,0.7935599,0.7135399,0.8026801,0.77807236,0.84737444,0.16890137,0.16684304,0.2706122,0.24067195,0.32909477,0.8928943,0.82002234,0.8807649,0.7429877,1.1322145,0.71431696,0.57321817,0.53283906,0.5352108,0.5113569,0.28568304,0.42678186,0.46716094,0.4647892,0.4886431,0.42863393,0.14643627,0.06567812,0.07042157,0.022713775
SZ300316,0.2006480972979173,1.0,,2026-05-27,0.0037174704,0.05985132,0.062111754,0.05427508,0.90683186,0.0018587671,0.031056412,-0.048698843,-0.81366366,0.9962963,1.054074,0.99444443,1.0237249,1.0499971,0.99716926,0.80416197,0.7790486,1.0293212,1.0062889,0.9979458,0.9183549,0.88454753,0.86352986,0.027680937,0.0346651,0.09861779,0.09442551,0.08592215,0.003502099,0.0036713944,0.015087655,0.009067159,0.0012657968,0.04001615,0.1028226,0.8192208,0.7146042,0.06619384,-0.013293041,-0.014467064,-0.061687626,-0.016021365,0.0991291,1.0681407,1.0681407,1.0681407,1.0681407,1.0753113,0.9653598,0.91572607,0.7360197,0.7360197,0.7354578,1.0250292,1.0250292,1.0027963,0.9964654,0.9496012,0.99114054,0.9689268,0.8185452,0.8011017,0.7871392,0.6,0.6,0.8,0.8666667,0.9,0.3370295,0.5529254,0.79483163,0.79483163,0.77840066,0.8,0.9,0.95,0.96666664,0.033333335,0.2,0.4,0.15,0.43333334,0.48333332,0.6,0.5,0.8,0.53333336,-0.45,-0.19151436,0.4312901,0.70121086,0.7102215,0.69604397,0.22629783,0.67253965,0.4336669,0.4332867,0.35567224,0.6,0.6,0.65,0.6333333,0.5,0.4,0.4,0.35,0.36666667,0.5,0.2,0.2,0.3,0.26666668,0.0,0.37816924,0.5035995,0.63763946,0.63123095,0.48977715,0.62183076,0.49640045,0.36236054,0.36876902,0.51022285,-0.24366151,0.0071990895,0.27527893,0.26246196,-0.02044571,1.1232656,1.2314861,1.0719702,0.97220033,0.8316655,0.0992283,0.31270114,0.38341832,0.36968762,0.358934,0.6867165,0.7850958,1.1599282,1.3219109,1.4432234,0.22724967,0.3363742,0.542598,0.52190757,0.4906646,0.7727503,0.66362584,0.45740202,0.47809246,0.5093354,-0.54550064,-0.32725164,0.08519598,0.04381509,-0.018670797
SZ002601,0.19867753701155982,1.0,,2026-05-27,-0.04041721,0.05084742,-0.7948724,0.0026075356,0.051281575,0.007822675,0.15384606,-0.03520207,-0.6923079,1.0421196,1.0448369,0.9918478,1.0075064,1.1310861,1.2208009,1.194987,1.203803,1.5366753,1.051766,1.1082109,1.1358283,1.1577163,1.2226621,0.039491538,0.06924999,0.059969954,0.058065463,0.11769835,-0.023578217,-0.02260531,-0.0066856844,-0.0049058245,-0.0054578464,0.89115626,0.9767715,0.4350031,0.55320996,0.6558458,-0.004609602,-0.0064869765,-0.07231426,-0.086581826,-0.061655562,1.1623751,1.2268821,1.2357467,1.2357467,1.6114223,0.9918478,0.9918478,0.9918478,0.9918478,0.9918478,1.0895535,1.1666839,1.1922213,1.2039297,1.2853241,1.0277038,1.0400691,1.0932181,1.1286776,1.1543417,0.2,0.1,0.05,0.033333335,0.016666668,0.04780564,0.034685005,0.033424348,0.033424348,0.013157679,0.2,0.1,0.5,0.6666667,0.016666668,1.0,1.0,1.0,1.0,1.0,-0.8,-0.9,-0.5,-0.33333334,-0.98333335,-0.5367915,-0.16925918,0.073239855,-0.29729447,0.32683122,-0.97217727,-0.85572416,-0.601295,-0.53384614,-0.35084656,0.2,0.2,0.45,0.46666667,0.43333334,0.8,0.8,0.55,0.53333336,0.53333336,-0.6,-0.6,-0.1,-0.06666667,-0.1,0.046993226,0.031540457,0.2998107,0.3306845,0.31576863,0.95300674,0.96845955,0.7001893,0.6693155,0.6842314,-0.90601355,-0.9369191,-0.40037858,-0.33863097,-0.36846277,0.8168183,0.80881214,0.9179759,0.7984969,0.8214289,0.24667154,0.19644196,0.31740037,0.312525,0.3303356,0.89641947,0.9373239,1.0839335,1.2832412,1.239953,0.5904549,0.47136274,0.5353914,0.5358982,0.4879197,0.40954512,0.52863723,0.46460864,0.46410182,0.5120803,0.18090975,-0.05727449,0.07078272,0.07179639,-0.024160601
SH688036,0.18423847311381797,1.0,,2026-05-27,-0.020060515,0.041076213,-0.48837304,0.010985507,0.26744208,0.01003019,0.2441849,-0.02101583,-0.51163024,1.0204712,1.0316815,0.98976445,1.0066078,1.0284497,0.9501388,0.8709358,0.84466696,0.9243656,1.0178232,1.0100317,0.9716297,0.93177044,0.90533143,0.013296675,0.030452892,0.045248695,0.06885127,0.060468454,-0.0023592438,0.0049311467,0.006553158,0.007440706,0.0019706355,0.07870449,0.24035338,0.7341034,0.90511984,0.32393268,-0.013104678,-0.032221902,-0.033884685,-0.03966068,0.03653481,1.0459521,1.0585771,1.0585771,1.0585771,1.0585771,0.98976445,0.93290704,0.85599,0.8174424,0.813571,1.0295004,1.0295004,1.0232158,1.0016853,0.94990087,1.0064235,0.99442905,0.9296194,0.85721654,0.8505948,0.2,0.3,0.65,0.76666665,0.8833333,0.18216684,0.5338822,0.710855,0.75707746,0.76091605,0.8,0.4,0.7,0.8,0.9,1.0,0.2,0.05,0.033333335,0.28333333,-0.2,0.2,0.65,0.76666665,0.6166667,-0.12748827,0.14059234,0.30247858,0.6924193,0.67511857,-0.48433572,0.36827973,0.6682342,0.69638133,0.5797095,0.4,0.6,0.55,0.53333336,0.46666667,0.6,0.4,0.45,0.46666667,0.53333336,-0.2,0.2,0.1,0.06666667,-0.06666667,0.3020688,0.61993325,0.67369264,0.654506,0.53324616,0.6979312,0.38006675,0.32630736,0.34549397,0.4667538,-0.3958624,0.23986647,0.3473853,0.30901206,0.066492364,1.1563407,1.432335,1.327458,1.1342444,0.99157673,0.28841677,0.45554408,0.46635094,0.50045127,0.44947398,0.7668445,1.1442635,1.1827047,1.2955351,1.4869387,0.3561719,0.5093072,0.5165049,0.5213943,0.5097768,0.6438281,0.49069276,0.4834951,0.47860566,0.49022323,-0.2876562,0.018614464,0.0330098,0.04278868,0.019553533
SZ002466,0.17695869011895712,1.0,,2026-05-27,-0.029938329,0.054159775,-0.55277795,0.020008989,0.3694437,0.004212456,0.07777832,-0.04573486,-0.8444434,1.0308623,1.0514888,0.99565756,1.0240629,1.0570675,1.1535383,1.1429915,0.92493635,0.8691042,1.023111,1.0449294,1.1157116,1.0903394,0.96472234,0.013944112,0.029411523,0.08179299,0.08260345,0.14242923,-0.004220593,-0.0085500395,-0.011509108,0.00063508435,0.006668921,0.22903676,0.7746627,0.6929777,0.0045810826,0.6686714,-0.014669782,-0.006454198,-0.0063750134,-0.09954812,-0.16145548,1.0760037,1.1535318,1.2793092,1.2793092,1.2793092,0.99565756,0.99565756,0.99565756,0.9216778,0.74876124,1.0321053,1.0726408,1.183538,1.1616625,1.096681,1.0161375,1.0278571,1.0323782,1.0278571,0.8305823,0.2,0.1,0.05,0.1,0.55,0.054046933,0.027505832,0.015309138,0.21900256,0.47354585,0.2,0.1,0.25,0.5,0.75,1.0,1.0,1.0,0.033333335,0.3,-0.8,-0.9,-0.75,0.46666667,0.45,-0.6445893,0.56017494,0.8838789,0.6654284,0.8051029,-0.32519618,-0.33247292,0.14152506,0.44689897,0.4182126,0.4,0.4,0.4,0.53333336,0.53333336,0.6,0.6,0.6,0.46666667,0.46666667,-0.2,-0.2,-0.2,0.06666667,0.06666667,0.16292779,0.17817111,0.37086624,0.5398438,0.54335374,0.8370722,0.8218289,0.62913376,0.4601562,0.45664626,-0.67414445,-0.64365774,-0.25826752,0.07968757,0.08670745,0.9351136,1.0674416,1.3848965,1.4290327,1.091278,0.10330267,0.19272925,0.42346314,0.42371914,0.4990362,0.98365027,0.8554501,0.8911757,0.9529045,1.1370213,0.2941725,0.41010705,0.36296466,0.4836511,0.4927053,0.70582753,0.589893,0.63703537,0.5163489,0.5072947,-0.411655,-0.17978592,-0.2740707,-0.03269779,-0.0145894075
SH603296,0.1656468566186256,1.0,,2026-05-27,-0.027618214,0.0593383,-0.46543655,0.025521873,0.43010792,0.0061982153,0.10445555,-0.046941873,-0.7910889,1.0284027,1.0546494,0.99362576,1.0223857,1.0293293,1.0890307,1.0080166,0.92609006,0.8642377,1.0167894,1.032927,1.0316919,1.003928,0.9185285,0.02485841,0.028457347,0.04093591,0.055002302,0.09893486,0.0040213647,-0.0060760127,0.0009974913,0.004323907,0.0050318297,0.06542448,0.41788805,0.020781524,0.47895277,0.78895646,-0.024832124,-0.005584992,-0.041168123,-0.06662459,-0.06696749,1.0615659,1.1405758,1.1435825,1.1435825,1.1435825,0.979744,0.978516,0.91579443,0.896621,0.7475298,1.0340089,1.0557257,1.068787,1.0518152,1.0224727,0.9969237,1.016633,0.9969237,0.9566708,0.8148732,0.4,0.2,0.25,0.46666667,0.73333335,0.24756175,0.13256842,0.36966628,0.4186038,0.63746625,0.8,0.1,0.35,0.56666666,0.78333336,0.2,0.4,0.2,0.13333334,0.38333333,0.6,-0.3,0.15,0.43333334,0.4,-0.84088117,0.026715355,0.370503,0.59956753,0.6336359,-0.7536818,-0.5209375,0.15052846,0.38827407,0.44726327,0.4,0.3,0.45,0.46666667,0.46666667,0.6,0.7,0.55,0.53333336,0.53333336,-0.2,-0.4,-0.1,-0.06666667,-0.06666667,0.4054621,0.3080382,0.49316898,0.54659766,0.54671454,0.5945379,0.6919618,0.506831,0.45340234,0.4532855,-0.18907584,-0.3839236,-0.013662014,0.093195304,0.093429044,0.9657176,1.0907233,1.1997162,1.1253426,0.9634282,0.08071479,0.24394368,0.28387594,0.29266906,0.35939884,0.40431985,0.63553333,0.80112255,0.8569544,1.0230625,0.49515682,0.38713643,0.45013535,0.49625686,0.5003058,0.5048432,0.61286354,0.54986465,0.5037432,0.4996942,-0.009686351,-0.22572713,-0.09972928,-0.007486295,0.000611574
SZ000977,0.15743001995679898,1.0,,2026-05-27,-0.036151785,0.053181935,-0.67977566,0.01374363,0.25842667,0.0032865203,0.06179768,-0.046608895,-0.87640464,1.0375078,1.0517669,0.9965902,1.0217307,1.1039956,1.1986636,1.1594738,1.045617,0.97698265,1.0402385,1.0714557,1.105368,1.1030512,1.0170956,0.027996715,0.038719084,0.05092238,0.048133787,0.09789607,-0.007023533,-0.01005629,-0.005265268,-0.0007653452,0.004150964,0.15733926,0.6183535,0.3741895,0.019593695,0.5483618,-0.026191479,-0.02620246,-0.055347964,-0.09195369,-0.13954897,1.1205908,1.2105865,1.2313452,1.2313452,1.2313452,0.9965902,0.9965902,0.9965902,0.9965902,0.8575436,1.0607638,1.1050211,1.1342707,1.136359,1.1190264,1.0222006,1.0400205,1.0695902,1.0577939,0.91814935,0.2,0.1,0.05,0.033333335,0.48333332,0.027498173,0.015933875,0.014524888,0.014524888,0.3811016,0.2,0.1,0.35,0.56666666,0.78333336,1.0,1.0,1.0,1.0,0.36666667,-0.8,-0.9,-0.65,-0.43333334,0.41666666,-0.6151187,0.24515778,0.34852228,0.34381256,0.8028078,-0.86514366,-0.5740665,-0.11586093,0.13841239,0.3494447,0.4,0.4,0.45,0.46666667,0.5,0.6,0.6,0.55,0.53333336,0.5,-0.2,-0.2,-0.1,-0.06666667,0.0,0.23135929,0.21682756,0.385553,0.47485936,0.50697905,0.7686407,0.7831724,0.614447,0.52514064,0.49302095,-0.53728145,-0.56634486,-0.22889398,-0.050281297,0.013958083,0.955594,1.0802547,1.1430801,1.191569,0.92449963,0.17715362,0.36266103,0.35874495,0.36313778,0.42971358,0.7801654,1.127297,0.9334386,1.0617715,1.1096263,0.5690876,0.43774948,0.47904953,0.4709841,0.5123919,0.4309124,0.56225055,0.5209505,0.5290159,0.48760808,0.13817522,-0.12450107,-0.04190095,-0.058031823,0.024783876
SH600489,0.15155763329592653,0.875,,2026-05-27,-0.033347014,0.05351994,-0.6230765,0.01605598,0.3,0.004116942,0.07692353,-0.045286052,-0.84615296,1.0344974,1.0511073,0.995741,1.0135698,0.99276865,1.1422583,1.0873195,1.1678238,1.323265,1.0050362,1.0181102,1.0770757,1.097613,1.1609007,0.029650887,0.039041687,0.07147154,0.066411614,0.118958816,0.011794077,-0.0057330686,-0.008517701,-0.005420264,-0.0052600033,0.39554197,0.19766445,0.49710324,0.51624334,0.5963189,-0.028624438,0.007688594,0.0038424172,-0.019019138,-0.005730663,1.0553778,1.1354389,1.2129741,1.2129741,1.5119227,0.96336997,0.96336997,0.96336997,0.96336997,0.96336997,1.0202924,1.0400537,1.144466,1.1520493,1.2494992,0.98756593,0.99259585,1.0034044,1.0131315,1.0742904,0.6,0.4,0.2,0.13333334,0.06666667,0.39811853,0.21288009,0.14675264,0.14675264,0.06677581,0.8,0.1,0.35,0.56666666,0.05,0.4,0.7,0.85,0.9,0.95,0.4,-0.6,-0.5,-0.33333334,-0.9,0.792072,0.25241992,0.35717842,0.028911933,0.33386552,0.74468714,-0.028168436,0.1037845,-0.053336196,0.20379916,0.6,0.3,0.4,0.36666667,0.36666667,0.4,0.7,0.6,0.6333333,0.6333333,0.2,-0.4,-0.2,-0.26666668,-0.26666668,0.52365017,0.26476198,0.41686475,0.37370583,0.40746304,0.47634983,0.735238,0.58313525,0.6262942,0.5925369,0.047300357,-0.47047603,-0.16627048,-0.25258836,-0.18507391,1.0022805,1.0313329,1.0519058,0.9982026,1.2027515,0.20368937,0.2586097,0.25022817,0.24159643,0.52868503,0.51361674,0.85865784,0.8754096,1.0367616,1.5285873,0.522134,0.52198976,0.4956513,0.51150954,0.4959814,0.477866,0.47801027,0.5043487,0.48849046,0.5040186,0.044268012,0.043979473,-0.008697387,0.0230191,-0.008037195
